Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene:AT1G04197	-	1	-	875679	875823	4.558620	1.668149	2.993992
gene:AT1G03520	-	1	-	877861	880259	23.017782	8.422962	15.117523
gene:AT1G03530	-	1	-	880384	883599	10.469702	3.831208	6.876247
gene:AT1G03475	-	1	-	868853	871308	259.509460	94.963036	170.439545
gene:AT1G03560	-	1	-	890155	892492	10.305817	3.771237	6.768612
gene:AT1G03540	-	1	+	883683	885611	2.186107	0.799968	1.435782
gene:AT1G03550	-	1	-	885623	887956	29.331200	12.829270	23.025959
gene:AT1G03545	-	1	+	885941	887972	4.538379	1.953397	3.505955
gene:AT1G03590	-	1	-	894238	897718	24.910320	9.115504	16.360497
gene:AT1G03610	-	1	+	900732	903070	48.641846	17.799650	31.946789
gene:AT1G03600	-	1	+	898480	899794	764.440247	279.733795	502.065887
gene:AT1G03660	-	1	-	911310	913808	1.054077	0.507813	0.911422
gene:AT1G04203	-	1	+	913390	913595	0.000000	0.000000	0.000000
gene:AT1G03650	-	1	-	910023	911292	4.105381	1.502294	2.696315
gene:AT1G03620	-	1	-	904032	907643	2.789689	1.505681	2.702394
gene:AT1G03630	-	1	+	907523	909650	432.800507	175.540359	315.059631
gene:AT1G03700	-	1	+	920950	922098	1.320191	0.483101	0.867070
gene:AT1G03710	-	1	+	923390	924730	1.023077	0.390524	0.700912
gene:AT1G03687	-	1	+	918285	920592	24.848318	9.681942	17.377138
gene:AT1G03730	-	1	-	930715	931985	18.352480	6.715775	12.053466
gene:AT1G03680	-	1	-	916772	918064	1002.420044	366.818451	658.365234
gene:AT1G03740	-	1	+	933426	937152	50.876137	19.653107	35.273373
gene:AT1G04213	-	1	-	937032	937141	0.000000	0.000000	0.000000
gene:AT1G03750	-	1	+	937826	941162	9.690772	3.546172	6.364665
gene:AT1G03760	-	1	-	941062	943377	17.666952	6.464918	11.603228
gene:AT1G03800	-	1	-	957104	958383	0.963281	0.352496	0.632660
gene:AT1G03820	-	1	-	959790	960916	32.755100	11.986167	21.512758
gene:AT1G03840	-	1	-	967470	970334	3.158606	1.155838	2.074496
gene:AT1G03830	-	1	-	961684	966790	13.698823	5.012850	8.997056
gene:AT1G03770	-	1	+	944572	947682	9.679078	4.997851	8.970139
gene:AT1G03780	-	1	-	947520	951850	19.176535	7.831985	14.056838
gene:AT1G03850	-	1	-	975871	977911	14.008327	9.096789	16.326906
gene:AT1G03860	-	1	-	979307	982002	76.557640	34.049004	61.111111
gene:AT1G03870	-	1	-	982381	983544	81.321304	29.758137	53.409866
gene:AT1G03900	-	1	+	991106	993126	135.945923	49.747078	89.285995
gene:AT1G03920	-	1	+	1001116	1004410	3.308094	1.297269	2.328336
gene:AT1G03905	-	1	+	993400	995989	12.601136	5.449609	9.780951
gene:AT1G03910	-	1	+	996076	1000629	62.026623	23.865641	42.834026
gene:AT1G03930	-	1	+	1004688	1008370	55.752998	20.401854	36.617222
gene:AT1G04217	-	1	+	1008592	1008735	11.138889	4.076086	7.315753
gene:AT1G03935	-	1	+	1008810	1008896	0.068966	0.025237	0.045295
gene:AT1G04223	-	1	+	1009073	1009189	2.158120	0.789727	1.417401
gene:AT1G03940	-	1	-	1009228	1011145	5.557612	2.033713	3.650105
gene:AT1G04227	-	1	+	1009249	1009356	0.000000	0.000000	0.000000
gene:AT1G03950	-	1	-	1011151	1013365	48.088467	17.597149	31.583344
gene:AT1G03990	-	1	+	1024740	1027616	3.638842	1.331572	2.389904
gene:AT1G04000	-	1	-	1027853	1029119	21.250986	7.776434	13.957134
gene:AT1G03960	-	1	+	1013643	1017957	26.214596	10.856195	19.484688
gene:AT1G03970	-	1	+	1018058	1019247	36.994957	13.537671	24.297394
gene:AT1G04233	-	1	-	1018123	1018514	0.000000	0.000000	0.000000
gene:AT1G03980	-	1	-	1019311	1022108	1.432528	0.541536	0.971948
gene:AT1G04010	-	1	-	1030957	1036264	12.543462	4.590065	8.238243
gene:AT1G04050	-	1	-	1045598	1049864	4.737208	1.922333	3.450201
gene:AT1G04020	-	1	+	1036493	1040262	12.887702	4.723652	8.478005
gene:AT1G04030	-	1	+	1040375	1042892	13.099190	5.001878	8.977364
gene:AT1G04040	-	1	-	1042362	1043887	168.138855	61.527531	110.429535
gene:AT1G04237	-	1	+	1043118	1043415	2.269475	0.830476	1.490536
gene:AT1G04090	-	1	+	1057041	1059454	0.358294	0.131112	0.235319
gene:AT1G04100	-	1	+	1059470	1061209	8.314984	3.042726	5.461081
gene:AT1G04105	-	1	-	1059730	1060348	0.000000	0.000000	0.000000
gene:AT1G04110	-	1	-	1061297	1063809	2.976522	1.089207	1.954908
gene:AT1G04070	-	1	-	1050505	1051194	16.168116	5.916445	10.618828
gene:AT1G04080	-	1	+	1051312	1056827	76.219475	39.196911	70.350563
gene:AT1G04120	-	1	-	1064264	1071080	13.553915	4.959823	8.901884
gene:AT1G04150	-	1	-	1081024	1084431	0.350939	0.128420	0.230488
gene:AT1G04160	-	1	+	1086170	1096510	8.884987	3.273792	5.875796
gene:AT1G04130	-	1	+	1073274	1075568	13.765816	5.357235	9.615159
gene:AT1G04140	-	1	-	1075543	1080630	93.047050	34.197392	61.377438
gene:AT1G04170	-	1	+	1096882	1099901	112.525909	44.234135	79.391373
gene:AT1G04180	-	1	+	1104493	1106241	0.000000	0.000000	0.000000
gene:AT1G04190	-	1	-	1106354	1108725	45.975670	16.824009	30.195707
gene:AT1G04200	-	1	+	1109395	1114155	31.739037	11.927519	21.407497
gene:AT1G04210	-	1	+	1114375	1119739	54.633015	19.992016	35.881645
gene:AT1G04220	-	1	-	1119699	1122786	1.043150	0.381723	0.685116
gene:AT1G04247	-	1	+	1120225	1122526	2.176199	0.796343	1.429275
gene:AT1G04230	-	1	+	1125515	1128788	12.565706	4.598205	8.252852
